"ChEMBL ID"     ;"Name"                                                                               ;"Synonyms"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Type"           ;"Max Phase" ;"Molecular Weight" ;"Targets" ;"Bioactivities" ;"AlogP" ;"Polar Surface Area" ;"HBA"  ;"HBD"  ;"#RO5 Violations" ;"#Rotatable Bonds" ;"Passes Ro3" ;"QED Weighted" ;"CX Acidic pKa" ;"CX Basic pKa" ;"CX LogP" ;"CX LogD" ;"Aromatic Rings" ;"Structure Type" ;"Inorganic Flag" ;"Heavy Atoms" ;"HBA (Lipinski)" ;"HBD (Lipinski)" ;"#RO5 Violations (Lipinski)" ;"Molecular Weight (Monoisotopic)" ;"Np Likeness Score" ;"Molecular Species" ;"Molecular Formula" ;"Smiles"                                                                                                                                                                                                                                                                                                                  ;"Inchi Key"
"CHEMBL1204148" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"207.74"           ;"16"      ;"33"            ;"1.67"  ;"46.25"              ;"2"    ;"2"    ;"0"               ;"2"                ;"Y"          ;"0.66"         ;"None"          ;"9.58"         ;"1.75"    ;"-0.38"   ;"0"              ;"MOL"            ;"-1"             ;"12"          ;"2"              ;"3"              ;"0"                          ;"171.1623"                        ;"0.71"              ;"BASE"              ;"C10H22ClNO"        ;"Cl.NCC(O)C1CCCCCCC1"                                                                                                                                                                                                                                                                                                     ;"TYIRELDXFZWDBV-UHFFFAOYSA-N"
"CHEMBL1256914" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"423.34"           ;"26"      ;"49"            ;"4.33"  ;"9.23"               ;"1"    ;"0"    ;"0"               ;"6"                ;"N"          ;"0.57"         ;"None"          ;"None"         ;"0.43"    ;"0.43"    ;"2"              ;"MOL"            ;"-1"             ;"22"          ;"2"              ;"0"              ;"0"                          ;"296.2009"                        ;"0.05"              ;"NEUTRAL"           ;"C20H26INO"         ;"CC(COc1ccc(/C=C/c2ccccc2)cc1)[N+](C)(C)C.[I-]"                                                                                                                                                                                                                                                                           ;"BYWAIYMZODCNFQ-ASTDGNLGSA-M"
"CHEMBL468759"  ;"PENTACHLORONITROBENZENE"                                                            ;"Pentachloronitrobenzene"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;"Small molecule" ;""          ;"295.34"           ;"14"      ;"17"            ;"4.86"  ;"43.14"              ;"2"    ;"0"    ;"0"               ;"1"                ;"N"          ;"0.32"         ;"None"          ;"None"         ;"4.93"    ;"4.93"    ;"1"              ;"MOL"            ;"-1"             ;"14"          ;"3"              ;"0"              ;"0"                          ;"292.8372"                        ;"-0.53"             ;"None"              ;"C6Cl5NO2"          ;"O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl"                                                                                                                                                                                                                                                                                  ;"LKPLKUMXSAEKID-UHFFFAOYSA-N"
"CHEMBL1519327" ;"ZIRAM"                                                                              ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"305.83"           ;"31"      ;"98"            ;"0.76"  ;"3.24"               ;"1"    ;"1"    ;"0"               ;"0"                ;"Y"          ;"0.37"         ;"2.01"          ;"None"         ;"1.29"    ;"0.15"    ;"0"              ;"MOL"            ;"-1"             ;"6"           ;"1"              ;"0"              ;"0"                          ;"121.0020"                        ;"-1.26"             ;"ACID"              ;"C6H12N2S4Zn"       ;"CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]"                                                                                                                                                                                                                                                                                    ;"DUBNHZYBDBBJHD-UHFFFAOYSA-L"
"CHEMBL1506537" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"198.31"           ;"7"       ;"10"            ;"3.47"  ;"26.30"              ;"2"    ;"0"    ;"0"               ;"9"                ;"N"          ;"0.32"         ;"None"          ;"None"         ;"4.02"    ;"4.02"    ;"0"              ;"MOL"            ;"-1"             ;"14"          ;"2"              ;"0"              ;"0"                          ;"198.1620"                        ;"0.33"              ;"None"              ;"C12H22O2"          ;"C=CCOC(=O)CCCCCCCC"                                                                                                                                                                                                                                                                                                      ;"MFLWLDDOGSNSKO-UHFFFAOYSA-N"
"CHEMBL1371285" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"206.33"           ;"9"       ;"15"            ;"3.90"  ;"17.07"              ;"1"    ;"0"    ;"0"               ;"3"                ;"N"          ;"0.51"         ;"None"          ;"None"         ;"4.02"    ;"4.02"    ;"0"              ;"MOL"            ;"-1"             ;"15"          ;"1"              ;"0"              ;"0"                          ;"206.1671"                        ;"2.20"              ;"NEUTRAL"           ;"C14H22O"           ;"CCC(=O)/C=C/C1C(C)=CCCC1(C)C"                                                                                                                                                                                                                                                                                            ;"VPKMGDRERYMTJX-CMDGGOBGSA-N"
"CHEMBL162598"  ;"DICYCLOHEXYLCARBODIIMIDE"                                                           ;"Dicyclohexyl-Carbodiimide|Dicyclohexylcarbodiimide"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"Small molecule" ;""          ;"206.33"           ;"26"      ;"71"            ;"3.83"  ;"24.72"              ;"2"    ;"0"    ;"0"               ;"2"                ;"N"          ;"0.61"         ;"None"          ;"2.80"         ;"3.79"    ;"3.79"    ;"0"              ;"MOL"            ;"-1"             ;"15"          ;"2"              ;"0"              ;"0"                          ;"206.1783"                        ;"0.13"              ;"NEUTRAL"           ;"C13H22N2"          ;"C(=NC1CCCCC1)=NC1CCCCC1"                                                                                                                                                                                                                                                                                                 ;"QOSSAOTZNIDXMA-UHFFFAOYSA-N"
"CHEMBL453066"  ;"BETA-CCM"                                                                           ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"226.24"           ;"41"      ;"95"            ;"2.50"  ;"54.98"              ;"3"    ;"1"    ;"0"               ;"1"                ;"Y"          ;"0.65"         ;"12.01"         ;"2.11"         ;"2.06"    ;"2.06"    ;"3"              ;"MOL"            ;"-1"             ;"17"          ;"4"              ;"1"              ;"0"                          ;"226.0742"                        ;"-0.05"             ;"NEUTRAL"           ;"C13H10N2O2"        ;"COC(=O)c1cc2c(cn1)[nH]c1ccccc12"                                                                                                                                                                                                                                                                                         ;"UKHFPVCOXBJPIN-UHFFFAOYSA-N"
"CHEMBL163970"  ;""                                                                                   ;"1,3-Dinitro-Naphthalene"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;"Small molecule" ;""          ;"218.17"           ;"11"      ;"21"            ;"2.66"  ;"86.28"              ;"4"    ;"0"    ;"0"               ;"2"                ;"N"          ;"0.57"         ;"None"          ;"None"         ;"2.84"    ;"2.84"    ;"2"              ;"MOL"            ;"-1"             ;"16"          ;"6"              ;"0"              ;"0"                          ;"218.0328"                        ;"-1.05"             ;"NEUTRAL"           ;"C10H6N2O4"         ;"O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1"                                                                                                                                                                                                                                                                                ;"ULALSFRIGPMWRS-UHFFFAOYSA-N"
"CHEMBL1524617" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"130.20"           ;"31"      ;"98"            ;"1.37"  ;"47.58"              ;"4"    ;"0"    ;"0"               ;"2"                ;"N"          ;"0.32"         ;"None"          ;"None"         ;"1.16"    ;"1.16"    ;"0"              ;"MOL"            ;"-1"             ;"7"           ;"2"              ;"0"              ;"0"                          ;"129.9659"                        ;"-0.32"             ;"None"              ;"C3H2N2S2"          ;"N#CSCSC#N"                                                                                                                                                                                                                                                                                                               ;"JWZXKXIUSSIAMR-UHFFFAOYSA-N"
"CHEMBL355014"  ;"FLUORANTHENE"                                                                       ;"Fluoranthene"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"Small molecule" ;""          ;"202.26"           ;"25"      ;"34"            ;"4.49"  ;"0.00"               ;"0"    ;"0"    ;"0"               ;"0"                ;"N"          ;"0.39"         ;"None"          ;"None"         ;"4.28"    ;"4.28"    ;"3"              ;"MOL"            ;"-1"             ;"16"          ;"0"              ;"0"              ;"0"                          ;"202.0783"                        ;"-0.15"             ;"None"              ;"C16H10"            ;"c1ccc2c(c1)-c1cccc3cccc-2c13"                                                                                                                                                                                                                                                                                            ;"GVEPBJHOBDJJJI-UHFFFAOYSA-N"
"CHEMBL93403"   ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"373.88"           ;"32"      ;"57"            ;"2.90"  ;"44.81"              ;"4"    ;"1"    ;"0"               ;"6"                ;"N"          ;"0.85"         ;"None"          ;"6.85"         ;"3.25"    ;"3.14"    ;"2"              ;"MOL"            ;"-1"             ;"26"          ;"5"              ;"1"              ;"0"                          ;"373.1557"                        ;"-1.87"             ;"NEUTRAL"           ;"C20H24ClN3O2"      ;"COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1"                                                                                                                                                                                                                                                                              ;"DQVARXSGNFBPMB-UHFFFAOYSA-N"
"CHEMBL1315821" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"303.79"           ;"29"      ;"54"            ;"2.85"  ;"43.70"              ;"3"    ;"2"    ;"0"               ;"0"                ;"Y"          ;"0.72"         ;"9.26"          ;"7.72"         ;"2.88"    ;"2.58"    ;"2"              ;"MOL"            ;"-1"             ;"20"          ;"3"              ;"2"              ;"0"                          ;"267.1259"                        ;"1.45"              ;"NEUTRAL"           ;"C17H18ClNO2"       ;"CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3.Cl"                                                                                                                                                                                                                                                                                    ;"SKYZYDSNJIOXRL-UHFFFAOYSA-N"
"CHEMBL1489064" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"350.46"           ;"23"      ;"68"            ;"6.20"  ;"40.46"              ;"4"    ;"2"    ;"1"               ;"3"                ;"N"          ;"0.43"         ;"9.48"          ;"None"         ;"5.95"    ;"5.94"    ;"4"              ;"MOL"            ;"-1"             ;"24"          ;"2"              ;"2"              ;"1"                          ;"350.0435"                        ;"0.13"              ;"NEUTRAL"           ;"C20H14O2S2"        ;"Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1"                                                                                                                                                                                                                                                                                    ;"AHXGXXJEEHFHDK-UHFFFAOYSA-N"
"CHEMBL160929"  ;"HEXACHLOROETHANE"                                                                   ;"1,1,1,2,2,2-Hexachloro-Ethane|Hexachloroethane"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;"Small molecule" ;""          ;"236.74"           ;"8"       ;"277"           ;"3.73"  ;"0.00"               ;"0"    ;"0"    ;"0"               ;"0"                ;"N"          ;"0.56"         ;"None"          ;"None"         ;"3.32"    ;"3.32"    ;"0"              ;"MOL"            ;"-1"             ;"8"           ;"0"              ;"0"              ;"0"                          ;"233.8131"                        ;"-0.08"             ;"None"              ;"C2Cl6"             ;"ClC(Cl)(Cl)C(Cl)(Cl)Cl"                                                                                                                                                                                                                                                                                                  ;"VHHHONWQHHHLTI-UHFFFAOYSA-N"
"CHEMBL1255646" ;"CIRAZOLINE HYDROCHLORIDE"                                                           ;"Cirazoline Hydrochloride"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Small molecule" ;""          ;"252.74"           ;"11"      ;"20"            ;"1.94"  ;"33.62"              ;"3"    ;"1"    ;"0"               ;"4"                ;"N"          ;"0.83"         ;"None"          ;"9.26"         ;"1.67"    ;"-0.09"   ;"1"              ;"MOL"            ;"-1"             ;"16"          ;"3"              ;"1"              ;"0"                          ;"216.1263"                        ;"-0.28"             ;"BASE"              ;"C13H17ClN2O"       ;"Cl.c1ccc(C2CC2)c(OCC2=NCCN2)c1"                                                                                                                                                                                                                                                                                          ;"XFRXWLWUUDJHPB-UHFFFAOYSA-N"
"CHEMBL1256839" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"395.93"           ;"16"      ;"24"            ;"3.44"  ;"40.16"              ;"5"    ;"0"    ;"0"               ;"10"               ;"N"          ;"0.65"         ;"None"          ;"9.60"         ;"3.59"    ;"1.40"    ;"2"              ;"MOL"            ;"-1"             ;"26"          ;"5"              ;"0"              ;"0"                          ;"359.2097"                        ;"-0.25"             ;"BASE"              ;"C21H30ClNO4"       ;"COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC.Cl"                                                                                                                                                                                                                                                                               ;"GYBONEHHSUABAO-UHFFFAOYSA-N"
"CHEMBL388676"  ;"CAPTAN"                                                                             ;"Captan"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;"Small molecule" ;""          ;"300.59"           ;"74"      ;"336"           ;"2.91"  ;"37.38"              ;"3"    ;"0"    ;"0"               ;"1"                ;"N"          ;"0.32"         ;"None"          ;"None"         ;"3.25"    ;"3.25"    ;"0"              ;"MOL"            ;"-1"             ;"16"          ;"3"              ;"0"              ;"0"                          ;"298.9341"                        ;"0.44"              ;"NEUTRAL"           ;"C9H8Cl3NO2S"       ;"O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl"                                                                                                                                                                                                                                                                                        ;"LDVVMCZRFWMZSG-UHFFFAOYSA-N"
"CHEMBL70902"   ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"246.40"           ;"12"      ;"14"            ;"4.57"  ;"0.00"               ;"2"    ;"0"    ;"0"               ;"5"                ;"N"          ;"0.56"         ;"None"          ;"None"         ;"4.51"    ;"4.51"    ;"2"              ;"MOL"            ;"-1"             ;"16"          ;"0"              ;"0"              ;"0"                          ;"246.0537"                        ;"-0.79"             ;"None"              ;"C14H14S2"          ;"c1ccc(SCCSc2ccccc2)cc1"                                                                                                                                                                                                                                                                                                  ;"MHCVYAFXPIMYRD-UHFFFAOYSA-N"
"CHEMBL410683"  ;"GUGGULSTERONE"                                                                      ;"(Z)-Gugglesterone|Guggulsterone"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;"Small molecule" ;""          ;"312.45"           ;"36"      ;"113"           ;"4.64"  ;"34.14"              ;"2"    ;"0"    ;"0"               ;"0"                ;"N"          ;"0.61"         ;"None"          ;"None"         ;"4.25"    ;"4.25"    ;"0"              ;"MOL"            ;"-1"             ;"23"          ;"2"              ;"0"              ;"0"                          ;"312.2089"                        ;"2.51"              ;"NEUTRAL"           ;"C21H28O2"          ;"C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"                                                                                                                                                                                                                                                          ;"WDXRGPWQVHZTQJ-OSJVMJFVSA-N"
"CHEMBL1560541" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"264.37"           ;"14"      ;"18"            ;"4.82"  ;"0.00"               ;"0"    ;"0"    ;"0"               ;"0"                ;"N"          ;"0.59"         ;"None"          ;"None"         ;"4.68"    ;"4.68"    ;"1"              ;"MOL"            ;"-1"             ;"12"          ;"0"              ;"0"              ;"0"                          ;"261.8677"                        ;"-0.83"             ;"None"              ;"C7H3Cl5"           ;"Clc1ccc(C(Cl)(Cl)Cl)c(Cl)c1"                                                                                                                                                                                                                                                                                             ;"KZSNBJMYJWDVTK-UHFFFAOYSA-N"
"CHEMBL559612"  ;"CP-55940"                                                                           ;"CP-55940"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"Small molecule" ;""          ;"376.58"           ;"71"      ;"462"           ;"5.66"  ;"60.69"              ;"3"    ;"3"    ;"1"               ;"10"               ;"N"          ;"0.46"         ;"10.47"         ;"None"         ;"5.91"    ;"5.90"    ;"1"              ;"MOL"            ;"-1"             ;"27"          ;"3"              ;"3"              ;"1"                          ;"376.2977"                        ;"1.50"              ;"NEUTRAL"           ;"C24H40O3"          ;"CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1"                                                                                                                                                                                                                                                                  ;"YNZFFALZMRAPHQ-SYYKKAFVSA-N"
"CHEMBL327708"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"506.56"           ;"38"      ;"77"            ;"2.86"  ;"133.12"             ;"9"    ;"1"    ;"1"               ;"9"                ;"N"          ;"0.27"         ;"8.57"          ;"2.62"         ;"3.39"    ;"3.36"    ;"3"              ;"MOL"            ;"-1"             ;"35"          ;"10"             ;"1"              ;"1"                          ;"506.1635"                        ;"-0.73"             ;"NEUTRAL"           ;"C23H27FN4O6S"      ;"CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCCOC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O"                                                                                                                                                                                                                                                       ;"XJLGXHIRSHTRPQ-UHFFFAOYSA-N"
"CHEMBL67166"   ;"SPHINGOSINE"                                                                        ;"D-Sphingosine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;"Small molecule" ;""          ;"299.50"           ;"60"      ;"162"           ;"3.92"  ;"66.48"              ;"3"    ;"3"    ;"0"               ;"15"               ;"N"          ;"0.32"         ;"None"          ;"9.23"         ;"4.57"    ;"2.75"    ;"0"              ;"MOL"            ;"-1"             ;"21"          ;"3"              ;"4"              ;"0"                          ;"299.2824"                        ;"1.48"              ;"BASE"              ;"C18H37NO2"         ;"CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO"                                                                                                                                                                                                                                                                                  ;"WWUZIQQURGPMPG-KRWOKUGFSA-N"
"CHEMBL1255660" ;""                                                                                   ;"1-Aminocyclopropanecarboxylic Acid Hydrochloride"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"137.57"           ;"14"      ;"24"            ;"-0.44" ;"63.32"              ;"2"    ;"2"    ;"0"               ;"1"                ;"N"          ;"0.47"         ;"2.20"          ;"9.35"         ;"-2.72"   ;"-2.72"   ;"0"              ;"MOL"            ;"-1"             ;"7"           ;"3"              ;"3"              ;"0"                          ;"101.0477"                        ;"1.08"              ;"ZWITTERION"        ;"C4H8ClNO2"         ;"Cl.NC1(C(=O)O)CC1"                                                                                                                                                                                                                                                                                                       ;"WTZRHZRMLYNBRM-UHFFFAOYSA-N"
"CHEMBL1200450" ;"TRIPROLIDINE HYDROCHLORIDE"                                                         ;"ACTIDIL|MYIDYL|TRIPROLIDINE HYDROCHLORIDE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"314.86"           ;"23"      ;"42"            ;"3.92"  ;"16.13"              ;"2"    ;"0"    ;"0"               ;"4"                ;"N"          ;"0.84"         ;"None"          ;"8.64"         ;"4.05"    ;"2.79"    ;"2"              ;"MOL"            ;"-1"             ;"21"          ;"2"              ;"0"              ;"0"                          ;"278.1783"                        ;"-0.82"             ;"BASE"              ;"C19H23ClN2"        ;"Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1.Cl"                                                                                                                                                                                                                                                                                   ;"WYUYEJNGHIOFOC-NWBUNABESA-N"
"CHEMBL1256835" ;""                                                                                   ;"BRL-52537"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"Small molecule" ;""          ;"391.77"           ;"8"       ;"22"            ;"4.01"  ;"23.55"              ;"2"    ;"0"    ;"0"               ;"4"                ;"N"          ;"0.81"         ;"None"          ;"9.15"         ;"3.79"    ;"2.05"    ;"1"              ;"MOL"            ;"-1"             ;"23"          ;"3"              ;"0"              ;"0"                          ;"354.1266"                        ;"-1.35"             ;"BASE"              ;"C18H25Cl3N2O"      ;"Cl.O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1"                                                                                                                                                                                                                                                                               ;"NGVLSOWJSUUYDE-UHFFFAOYSA-N"
"CHEMBL1900511" ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"218.30"           ;"3"       ;"3"             ;"3.29"  ;"26.30"              ;"2"    ;"0"    ;"0"               ;"5"                ;"N"          ;"0.56"         ;"None"          ;"None"         ;"4.13"    ;"4.13"    ;"1"              ;"MOL"            ;"-1"             ;"16"          ;"2"              ;"0"              ;"0"                          ;"218.1307"                        ;"0.29"              ;"None"              ;"C14H18O2"          ;"CC(C)CCOC(=O)/C=C/c1ccccc1"                                                                                                                                                                                                                                                                                              ;"JFHCDEYLWGVZMX-CMDGGOBGSA-N"
"CHEMBL250711"  ;"OLEOYL DOPAMINE"                                                                    ;"N-Oleoyl-Dopamine|N-Oleoyldopamine|Oleoyl Dopamine"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"Small molecule" ;""          ;"417.63"           ;"87"      ;"199"           ;"6.79"  ;"69.56"              ;"3"    ;"3"    ;"1"               ;"18"               ;"N"          ;"0.14"         ;"9.29"          ;"None"         ;"7.61"    ;"7.60"    ;"1"              ;"MOL"            ;"-1"             ;"30"          ;"4"              ;"3"              ;"1"                          ;"417.3243"                        ;"0.49"              ;"NEUTRAL"           ;"C26H43NO3"         ;"CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1"                                                                                                                                                                                                                                                                              ;"QQBPLXNESPTPNU-KTKRTIGZSA-N"
"CHEMBL1255649" ;"ARECAIDINE PROPARGYL ESTER HYDROBROMIDE"                                            ;"Arecaidine Propargyl Ester Hydrobromide"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;"Small molecule" ;""          ;"260.13"           ;"16"      ;"27"            ;"0.42"  ;"29.54"              ;"3"    ;"0"    ;"0"               ;"2"                ;"Y"          ;"0.45"         ;"None"          ;"8.07"         ;"0.88"    ;"0.12"    ;"0"              ;"MOL"            ;"-1"             ;"13"          ;"3"              ;"0"              ;"0"                          ;"179.0946"                        ;"0.01"              ;"NEUTRAL"           ;"C10H14BrNO2"       ;"Br.C#CCOC(=O)C1=CCCN(C)C1"                                                                                                                                                                                                                                                                                               ;"LRPUAFALRBYLTA-UHFFFAOYSA-N"
"CHEMBL194805"  ;""                                                                                   ;""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;"Small molecule" ;""          ;"212.29"           ;"15"      ;"29"            ;"3.72"  ;"20.23"              ;"1"    ;"1"    ;"0"               ;"2"                ;"N"          ;"0.80"         ;"10.08"         ;"None"         ;"4.35"    ;"4.35"    ;"2"              ;"MOL"            ;"-1"             ;"16"          ;"1"              ;"1"              ;"0"                          ;"212.1201"                        ;"-0.08"             ;"NEUTRAL"           ;"C15H16O"           ;"CC(C)(c1ccccc1)c1ccc(O)cc1"                                                                                                                                                                                                                                                                                              ;"QBDSZLJBMIMQRS-UHFFFAOYSA-N"
