smiles,Standardized_SMILES
COC1=CC2=C(N3CCN(C(=O)NC4=CC=C(OC5=CC=CC=C5)C=C4)CC3)N=CN=C2C=C1C,COc1cc2c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc2cc1C
O=C1C=CC(=O)N1CCNC1=NC=C(C(F)(F)F)C=C1Cl,O=C1C=CC(=O)N1CCNc1ncc(C(F)(F)F)cc1Cl
Cl.Cl.N#CC1=CC=C(CN2C(CN3CCCC3)=NC3=CC=CC=C23)C=C1,N#Cc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
CC(=O)N[C@@H](CCN)C(=O)N[C@@H](CC(C)C)C(N)=O,CC(=O)N[C@@H](CCN)C(=O)N[C@@H](CC(C)C)C(N)=O
COC1=NC=C(N2CCOCC2)C=C1S(=O)(=O)NC1=CC=NC(C2=CC=C(CN3CCCC3)C=C2F)=C1,COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN3CCCC3)cc2F)c1
O=C(NCCCN1C=CN=C1)/C(=C\C1=CC=CN=C1)NC(=O)C1=CC=CC(Br)=C1,O=C(NCCCn1ccnc1)/C(=C\c1cccnc1)NC(=O)c1cccc(Br)c1
CCO/N=C(\C1=CC=C(Br)C=C1)C1CCN(C2(C)CCN(C(=O)C3=C(C)C=CN=C3O)CC2)CC1,CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[nH]c3=O)CC2)CC1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CC1=C(NC(=O)C2=CC=CC(C#N)=C2)C=NC2=C1C(C1CCN(C(=O)C3CCOC3)CC1)=CN2C,Cc1c(NC(=O)c2cccc(C#N)c2)cnc2c1c(C1CCN(C(=O)C3CCOC3)CC1)cn2C
O=C(CCC1=NC2=CC=CN=C2N1)NC1=CC=C2C(=C1)OCC(=O)N2,O=C(CCc1nc2cccnc2[nH]1)Nc1ccc2c(c1)OCC(=O)N2
CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)NC1=CC=NN1C1CCC1,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C1CCC1
